Province_State,Last_Update,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Testing_Rate,Date
North Dakota,2023-01-02 04:31:21,280818,2427,36818.92024533437,0.8649846925865073,NULL,NULL
Northern Mariana Islands,2023-01-02 04:31:21,13319,41,24153.12636007544,0.3078309182371049,NULL,NULL
Ohio,2023-01-02 04:31:21,3307568,41257,28296.173358085736,1.237404642927976,NULL,NULL
Oklahoma,2023-01-02 04:31:21,1250013,17412,31590.148120873266,1.392945513366661,NULL,NULL
Oregon,2023-01-02 04:31:21,939303,8962,22270.30751324704,0.9541117190086692,NULL,NULL
Pennsylvania,2023-01-02 04:31:21,3416142,48892,26684.46285963845,1.4312051431117323,NULL,NULL
Puerto Rico,2023-01-02 04:31:21,1054239,5541,33010.01911892623,0.5255923941345368,NULL,NULL
Rhode Island,2023-01-02 04:31:21,443645,3770,41878.54753950731,0.8497785391472912,NULL,NULL
South Carolina,2023-01-02 04:31:21,1770059,18834,34378.66232228086,1.064032328865874,NULL,NULL
South Dakota,2023-01-02 04:31:21,271856,3118,30730.032701865915,1.146930728032488,NULL,NULL
Tennessee,2023-01-02 04:31:21,2440840,28589,35566.966078181635,1.175702881515729,NULL,NULL
Texas,2023-01-02 04:31:21,8211474,91594,28376.061413688378,1.1159362990920272,NULL,NULL
Utah,2023-01-02 04:31:21,1074828,5187,33525.95386464826,0.4825888421217162,NULL,NULL
Vermont,2023-01-02 04:31:21,148393,791,23781.34870967277,0.5330440115099769,NULL,NULL
Virgin Islands,2023-01-02 04:31:21,23781,127,22169.705783644706,0.5340397796560279,NULL,NULL
Virginia,2023-01-02 04:31:21,2199302,22670,25766.470673898097,1.030781584339031,NULL,NULL
Washington,2023-01-02 04:31:21,1883676,15038,24736.73628769308,0.798332621958341,NULL,NULL
West Virginia,2023-01-02 04:31:21,624721,7672,34858.80343520928,1.2280682096487872,NULL,NULL
Wisconsin,2023-01-02 04:31:21,1960878,15802,33677.97728578804,0.8058634958421687,NULL,NULL
Wyoming,2023-01-02 04:31:21,182847,1958,31592.9428311266,1.0708406481922044,NULL,NULL
Alabama,2021-01-03 05:30:33,369458,4872,7535.061393767521,1.318688457145332,NULL,2021-01-02
Alaska,2021-01-03 05:30:33,47821,215,6536.986788235857,0.4495932749210597,176386.82514404444,2021-01-02
American Samoa,2021-01-03 05:30:33,0,0,0.0,NULL,3846.084721698028,2021-01-02
Arizona,2021-01-03 05:30:33,539150,9061,7407.212012776427,1.6806083650190111,39916.14181455331,2021-01-02
Arkansas,2021-01-03 05:30:33,231442,3729,7669.219074532342,1.6112028067507194,68917.26566735281,2021-01-02
California,2021-01-03 05:30:33,2481294,26579,6281.734641961299,1.06540835348802,84509.14543583133,2021-01-02
Colorado,2021-01-03 05:30:33,364645,5451,5889.695238677376,1.4482327550623282,77703.63149135505,2021-01-02
Connecticut,2021-01-03 05:30:33,190120,6099,5332.530031944132,3.20797391121397,122945.5300512974,2021-01-02
Delaware,2021-01-03 05:30:33,58873,1072,6045.920777518988,1.8208686494657995,1.0596766773057948e-05,2021-01-02
